#Deuxième tirage	
#Hauteur (mm)	Aire (mm²)
0.44875	561.628402366864
0.453875	561.302721893491
0.45875	561.208047337278
0.463875	561.189112426036
0.46875	562.014674556213
0.473875	562.53349112426
0.47875	562.544852071006
0.483875	563.143195266272
0.488875	563.843786982249
0.493875	562.878106508876
0.498875	562.313846153846
0.503875	562.984142011834
0.508875	561.950295857988
0.513875	562.09798816568
0.518875	562.113136094675
0.523875	561.94650887574
0.528875	562.014674556213
0.533875	562.268402366864
0.538875	562.711479289941
0.543875	562.787218934911
0.548875	562.987928994083
0.553875	563.521893491124
0.558875	564.264142011834
0.563875	563.154556213018
0.568875	563.525680473373
0.573875	563.101538461538
0.578875	562.889467455621
0.583875	563.446153846154
0.588875	562.120710059172
0.593875	562.885680473373
0.598875	562.63573964497
0.603875	562.264615384615
0.608875	561.61325443787
0.614	562.162366863905
0.618875	560.556686390532
0.624	561.495857988166
0.628875	561.325443786982
0.634	562.344142011834
0.639	561.779881656805
0.644	561.957869822485
0.649	561.980591715976
0.654	562.344142011834
0.659	562.132071005917
0.664	562.275976331361
0.669	562.813727810651
0.674	561.098224852071
0.678875	561.018698224852
0.684	560.874792899408
0.688875	562.639526627219
0.693875	562.965207100592
0.698875	561.931360946746
0.703875	561.397396449704
0.708875	562.416094674556
0.713875	562.291124260355
0.718875	562.89325443787
0.723875	562.544852071006
0.728875	561.976804733728
0.733875	561.935147928994
0.738875	561.976804733728
0.743875	563.003076923077
0.748875	562.101775147929
0.753875	562.63573964497
0.758875	562.904615384615
0.763875	562.351715976331
0.768875	561.829112426036
0.773875	562.480473372781
0.778875	562.89325443787
0.783875	563.211360946746
0.78875	563.188639053254
0.79375	563.063668639053
0.79875	563.324970414201
0.80375	563.105325443787
0.80875	563.298461538462
0.81375	562.605443786982
0.81875	562.775857988166
0.82375	562.366863905325
0.82875	561.836686390533
0.83375	561.749585798817
0.83875	562.044970414201
0.84375	562.02224852071
0.84875	561.298934911243
0.85375	561.026272189349
0.85875	561.208047337278
0.86375	562.287337278107
0.86875	562.04875739645
0.87375	561.20426035503
0.87875	561.219408284024
0.88375	561.109585798817
0.88875	561.673846153846
0.89375	561.431479289941
0.89875	560.416568047337
0.90375	562.181301775148
0.90875	561.617041420118
0.91375	561.51100591716
0.91875	562.007100591716
0.92375	562.363076923077
0.92875	562.389585798817
0.93375	561.647337278107
0.93875	561.30650887574
0.943875	561.855621301775
0.94875	561.908639053254
0.953875	561.590532544379
0.95875	561.155029585799
0.963875	560.992189349112
0.96875	560.287810650888
0.973875	561.283786982249
0.97875	560.833136094675
0.983875	561.753372781065
0.988875	560.931597633136
0.993875	559.178224852071
0.998875	559.541775147929
1.003875	559.261538461538
1.008875	559.363786982248
1.013875	559.371360946746
1.018875	559.66674556213
1.023875	560.43550295858
1.028875	560.393846153846
1.033875	560.655147928994
1.038875	561.056568047337
1.043875	562.518343195266
1.048875	562.419881656805
1.053875	561.079289940828
1.058875	560.836923076923
1.063875	560.458224852071
1.068875	559.837159763314
1.073875	559.413017751479
1.078875	559.59100591716
1.083875	560.386272189349
1.088875	559.988639053254
1.093875	560.242366863905
1.098875	560.291597633136
1.103875	560.806627218935
1.108875	560.215857988166
1.114	559.477396449704
1.118875	561.192899408284
1.124	561.026272189349
1.129	562.340355029586
1.134	561.200473372781
1.139	562.291124260355
1.144	561.836686390533
1.149	561.768520710059
1.154	560.723313609467
1.159	560.882366863905
1.164	561.189112426036
1.169	560.378698224852
1.174	560.424142011834
1.178875	559.617514792899
1.184	559.25775147929
1.188875	560.295384615385
1.194	560.344615384615
1.198875	560.23100591716
1.203875	560.284023668639
1.208875	560.924023668639
1.213875	560.897514792899
1.218875	561.139881656805
1.223875	559.810650887574
1.228875	560.348402366864
1.233875	560.931597633136
1.238875	560.109822485207
1.243875	561.351952662722
1.248875	560.458224852071
1.253875	561.230769230769
1.258875	561.423905325444
1.263875	560.999763313609
1.268875	561.726863905325
1.273875	562.730414201183
1.278875	562.544852071006
1.283875	563.624142011834
1.28875	564.214911242604
1.293875	562.96899408284
1.29875	561.912426035503
1.30375	564.082366863905
1.30875	563.215147928994
1.31375	563.597633136095
1.31875	561.58674556213
1.32375	561.113372781065
1.32875	564.158106508876
1.33375	563.571124260355
1.33875	563.188639053254
1.34375	563.768047337278
1.34875	563.309822485207
1.35375	564.07100591716
1.35875	563.306035502959
1.36375	563.086390532544
1.36875	562.779644970414
1.37375	563.461301775148
1.37875	563.779408284024
1.38375	561.772307692308
1.38875	562.38201183432
1.39375	562.154792899408
1.39875	562.071479289941
1.40375	561.446627218935
1.40875	561.071715976331
1.41375	561.935147928994
1.41875	561.15124260355
1.42375	561.340591715976
1.42875	561.533727810651
1.43375	560.958106508876
1.43875	559.939408284024
1.443875	561.030059171598
1.44875	560.405207100592
1.453875	560.636213017752
1.45875	559.553136094675
1.463875	559.174437869822
1.46875	559.556923076923
1.473875	559.378934911243
1.47875	559.15550295858
1.483875	559.390295857988
1.488875	558.15573964497
1.493875	556.633372781065
1.498875	557.360473372781
1.503875	557.750532544379
1.508875	558.735147928994
1.513875	558.15573964497
1.518875	558.420828402367
1.523875	558.969940828402
1.528875	556.163786982249
1.533875	557.174911242604
1.538875	555.220828402367
1.543875	554.175621301775
1.548875	553.285680473373
1.553875	556.432662721894
1.558875	553.440946745562
1.563875	553.982485207101
1.568875	552.93349112426
1.573875	551.339171597633
1.578875	551.80875739645
1.583875	550.846863905325
1.588875	551.767100591716
1.593875	551.464142011834
1.598875	549.475976331361
1.603875	551.04
1.608875	550.471952662722
1.613875	549.691834319527
1.618875	547.855147928994
1.624	547.487810650888
1.628875	546.306272189349
1.634	545.07550295858
1.639	544.132544378698
1.644	543.549349112426
1.649	543.235029585799
1.654	540.171360946746
