#Troisième enfoncement	
#Hauteur (mm)	Aire (mm²)
1.32875	206.140591715976
1.323875	206.458698224852
1.31875	206.636686390533
1.313875	206.337514792899
1.308875	206.500355029586
1.303875	206.466272189349
1.298875	206.810887573964
1.293875	206.568520710059
1.288875	206.572307692308
1.283875	206.59124260355
1.278875	206.367810650888
1.273875	206.201183431953
1.268875	206.511715976331
1.263875	206.659408284024
1.258875	206.136804733728
1.253875	206.341301775148
1.248875	206.360236686391
1.243875	205.739171597633
1.238875	206.144378698225
1.233875	205.943668639053
1.228875	205.750532544379
1.223875	205.659644970414
1.218875	206.08
1.214	205.599053254438
1.208875	205.890650887574
1.204	205.697514792899
1.198875	206.140591715976
1.194	205.826272189349
1.189	205.674792899408
1.184	205.981538461538
1.179	206.496568047337
1.174	205.970177514793
1.169	206.38674556213
1.164	205.780828402367
1.159	205.837633136095
1.154	206.133017751479
1.149	205.947455621302
1.144	205.905798816568
1.139	205.917159763314
1.134	205.966390532544
1.129	206.299644970414
1.124	205.962603550296
1.119	205.936094674556
1.114	206.333727810651
1.108875	206.197396449704
1.104	206.526863905325
1.098875	206.114082840237
1.094	206.553372781065
1.088875	206.38674556213
1.083875	206.401893491124
1.078875	206.212544378698
1.073875	206.28449704142
1.068875	206.193609467456
1.063875	205.981538461538
1.058875	206.049704142012
1.053875	206.011834319527
1.048875	206.15573964497
1.043875	206.223905325444
1.038875	205.822485207101
1.033875	206.117869822485
1.028875	206.110295857988
1.023875	206.356449704142
1.018875	206.443550295858
1.013875	206.530650887574
1.008875	205.970177514793
1.003875	206.625325443787
0.99875	206.731360946746
0.993875	206.000473372781
0.98875	205.470295857988
0.983875	205.724023668639
0.97875	206.280710059172
0.97375	205.777041420118
0.96875	206.477633136095
0.96375	207.05325443787
0.95875	206.458698224852
0.95375	206.030769230769
0.94875	206.076213017751
0.94375	205.845207100592
0.93875	205.674792899408
0.93375	206.242840236686
0.92875	205.883076923077
0.92375	205.754319526627
0.91875	206.076213017751
0.91375	205.90201183432
0.90875	205.871715976331
0.90375	205.939881656805
0.89875	205.803550295858
0.89375	205.629349112426
0.88875	205.750532544379
0.88375	206.193609467456
0.87875	206.235266272189
0.87375	205.807337278107
0.86875	205.826272189349
0.86375	206.026982248521
0.85875	205.792189349112
0.85375	206.299644970414
0.84875	206.242840236686
0.843875	205.958816568047
0.83875	206.750295857988
0.833875	206.966153846154
0.82875	206.151952662722
0.823875	205.803550295858
0.81875	206.000473372781
0.813875	205.932307692308
0.808875	205.663431952663
0.803875	205.564970414201
0.798875	205.939881656805
0.793875	205.701301775148
0.788875	205.648284023669
0.783875	205.742958579882
0.778875	205.879289940828
0.773875	205.795976331361
0.768875	205.534674556213
0.763875	206.023195266272
0.758875	205.852781065089
0.753875	205.386982248521
0.748875	205.947455621302
0.743875	205.928520710059
0.738875	206.008047337278
0.733875	205.546035502959
0.728875	205.564970414201
0.723875	205.394556213018
0.718875	205.606627218935
0.713875	205.905798816568
0.708875	205.958816568047
0.704	205.894437869822
0.698875	205.905798816568
0.694	206.477633136095
0.689	205.386982248521
0.684	206.216331360947
