#Hauteur (mm)	Aire
0.244	952.88036852
0.249	947.54117732
0.254	948.17361723
0.259	948.54227567
0.264	945.64703568
0.269	942.939303
0.274	938.97622477
0.279	937.4412073
0.284	935.19111958
0.289	930.8307801
0.294	931.67615204
0.299	927.86880022
0.304	924.08687312
0.309	918.59195551
0.314	918.55699652
0.319125	919.10680609
0.324	911.74317156
0.329125	911.54295189
0.334125	911.05034794
0.339125	910.3003187
0.344125	905.95904776
0.349125	903.91871398
0.354125	902.31695662
0.359125	899.37404528
0.364125	895.62707717
0.369125	893.48504451
0.374125	892.36953492
0.379125	892.49665852
0.384125	893.09413944
0.389125	891.07923038
0.394125	895.53809065
0.399125	895.43321368
0.404125	895.43321368
0.409125	895.43321368
0.414125	895.43321368
0.419125	882.14879748
0.424125	886.55680831
0.429125	893.52318159
0.434125	880.58199911
0.439125	881.89455028
0.444125	877.61048496
0.449125	886.55680831
0.454125	880.58199911
0.459125	867.17999358
0.464125	872.77343198
0.469125	860.0547158
0.47425	864.49768562
0.47925	861.51028102
0.48425	861.46578776
0.48925	851.22915987
0.49425	848.41337213
0.49925	849.89118398
0.50425	842.5752208
0.50925	849.78312892
0.51425	840.94168254
0.51925	827.80028039
0.52425	832.2464283
0.52925	836.81969981
0.53425	828.11808939
0.53925	827.94329444
0.54425	835.25290144
0.54925	829.55140798
0.55425	829.53869562
0.55925	835.20840818
0.56425	819.4387256
0.56925	822.33714368
0.574125	822.19730772
0.579125	815.06567376
0.584125	810.89601968
0.589125	801.04394068
0.594125	799.65829344
0.599125	791.14101224
0.604125	795.29159778
0.609125	789.72994028
0.614125	791.10287516
0.619125	793.80742975
0.624125	790.97892965
0.629125	786.93957726
0.634125	791.14101224
0.639125	786.99678288
0.644125	793.94726571
0.649125	793.93773144
0.654125	778.60662528
0.659125	774.28760097
0.664125	757.5295324
0.669125	774.21132681
0.674125	764.5531113
0.679125	752.33017716
0.684125	764.60396074
0.689	767.47059792
0.694	750.982667
0.699	761.75003592
0.704	754.78048455
0.709	759.29019426
0.714	751.0144479
0.719	745.38287242
0.724	753.70946822
0.729	741.42297228
0.734	746.80030056
0.739	735.88356141
0.744	748.2177287
0.749	742.719633
0.754	727.61417123
0.759	722.36396655
0.764	722.36396655
0.769	725.06216496
0.774	729.1174078
0.779	715.69315564
0.784	718.29918944
0.789	717.01206299
0.794	705.13554066
0.799	710.48108804
0.804	706.47669464
0.809	709.17489305
0.814	713.1951769
