#A h theta
210.291 1.327 130.723
207.293 1.33188 130.753
205.403 1.33688 130.721
204.174 1.34187 130.656
202.708 1.34688 130.602
200.658 1.35187 130.578
198.524 1.35688 130.558
196.476 1.36187 130.534
194.804 1.36688 130.489
192.856 1.37187 130.459
191.735 1.37688 130.385
190.548 1.38187 130.316
189.416 1.38688 130.242
187.626 1.39187 130.203
187.686 1.39688 130.069
186.012 1.40188 130.023
183.284 1.40688 130.03
182.153 1.41188 129.956
180.455 1.41688 129.91
178.892 1.42188 129.857
177.057 1.42687 129.817
175.353 1.43188 129.77
173.397 1.43687 129.736
171.785 1.44188 129.684
171.122 1.44687 129.585
170.041 1.45188 129.506
169.111 1.45688 129.419
167.891 1.46188 129.347
165.461 1.46688 129.333
161.745 1.47188 129.381
159.461 1.47688 129.359
157.666 1.48188 129.312
155.838 1.48688 129.266
154.168 1.49188 129.212
152.439 1.49688 129.161
151.724 1.50187 129.061
150.114 1.50687 129.003
149.317 1.51187 128.907
147.345 1.51687 128.865
145.657 1.52188 128.808
145.072 1.52687 128.701
144.363 1.53188 128.599
143.623 1.53687 128.499
141.999 1.54188 128.438
141.065 1.54688 128.346
139.85 1.55188 128.266
134.931 1.55688 128.35
132.79 1.56188 128.308
129.019 1.56688 128.336
125.575 1.57188 128.346
123.638 1.57688 128.291
122.346 1.58188 128.208
121.839 1.58688 128.092
120.451 1.59187 128.013
119.925 1.59688 127.897
118.139 1.60187 127.832
116.919 1.60688 127.743
114.412 1.61187 127.704
112.796 1.61688 127.628
110.905 1.62187 127.562
108.496 1.62688 127.512
106.075 1.63187 127.461
103.86 1.63688 127.4
101.009 1.64187 127.358
98.8182 1.64688 127.291
97.0777 1.65188 127.206
95.4428 1.657 127.114
94.0715 1.66188 127.018
92.6792 1.667 126.915
91.4222 1.672 126.81
89.8945 1.677 126.711
88.5865 1.682 126.605
86.5156 1.687 126.516
85.8317 1.692 126.391
85.0072 1.697 126.269
83.6324 1.702 126.158
81.8551 1.707 126.053
80.0285 1.712 125.947
78.7416 1.717 125.827
77.1981 1.722 125.71
76.0237 1.727 125.584
74.8019 1.732 125.458
72.0963 1.737 125.346
70.2047 1.742 125.218
69.1305 1.747 125.08
68.1689 1.75187 124.944
66.8275 1.75687 124.804
65.6848 1.76187 124.66
64.9007 1.76687 124.513
63.4732 1.77188 124.364
62.5802 1.77687 124.214
61.1491 1.78188 124.057
58.8778 1.78687 123.888
53.8621 1.79188 123.651
51.2603 1.79688 123.431
49.0628 1.80188 123.204
45.5344 1.80688 122.896
39.1669 1.81188 122.327
33.1843 1.81688 121.559
29.6613 1.82188 120.892
25.871 1.82688 120.012
18.5383 1.83188 117.626
