#A h theta
342.778 1.04747 131.299
341.574 1.05214 131.246
339.923 1.05681 131.216
338.234 1.06148 131.189
337.26 1.06615 131.124
336.145 1.07082 131.066
334.607 1.07548 131.031
332.831 1.08014 131.008
332.561 1.0848 130.905
330.393 1.08946 130.903
328.85 1.09411 130.868
327.587 1.09876 130.818
323.329 1.10342 130.928
319.673 1.10806 131.005
315.809 1.11271 131.093
313.328 1.11736 131.108
312.377 1.12199 131.041
310.069 1.12664 131.046
309.986 1.13128 130.933
310.151 1.13592 130.807
307.817 1.14055 130.814
307.414 1.14518 130.718
306.252 1.14981 130.663
305.753 1.15444 130.572
303.114 1.15919 130.591
302.249 1.1637 130.523
302.349 1.16845 130.397
300.465 1.17296 130.383
296.977 1.17769 130.447
294.862 1.18231 130.442
293.805 1.18693 130.38
292.648 1.19155 130.324
291.448 1.19616 130.27
290.305 1.20078 130.213
288.83 1.20539 130.174
287.513 1.21 130.126
286.898 1.21461 130.041
285.657 1.21922 129.989
283.983 1.22383 129.96
282.076 1.22843 129.943
280.764 1.23304 129.894
280.23 1.23764 129.805
278.338 1.24224 129.787
276.369 1.24684 129.773
275.722 1.25144 129.689
273.363 1.25603 129.696
272.322 1.26063 129.633
270.053 1.26523 129.634
269.277 1.26982 129.557
265.353 1.27441 129.645
264.239 1.27911 129.583
262.813 1.28359 129.542
260.538 1.28829 129.541
259.049 1.29289 129.5
257.536 1.29746 129.462
256.249 1.30206 129.41
254.593 1.30664 129.379
252.94 1.31123 129.347
251.328 1.31581 129.313
249.646 1.32039 129.282
246.996 1.32497 129.301
245.309 1.32943 129.274
243.294 1.33412 129.257
241.71 1.33858 129.224
239.222 1.34316 129.234
237.549 1.34773 129.202
236.17 1.3523 129.155
233.839 1.35688 129.156
231.656 1.36145 129.15
229.687 1.36602 129.132
228.293 1.37059 129.085
227.684 1.37516 128.998
226.408 1.37973 128.944
223.852 1.38429 128.956
221.243 1.38886 128.97
220.155 1.39342 128.907
217.36 1.39799 128.93
215.276 1.40255 128.917
214.714 1.40711 128.826
212.274 1.41168 128.83
210.291 1.41624 128.811
207.293 1.42069 128.846
205.403 1.42525 128.821
204.174 1.4298 128.764
202.708 1.43436 128.717
200.658 1.43891 128.7
198.524 1.44347 128.687
196.476 1.44802 128.669
194.804 1.45258 128.632
192.856 1.45713 128.609
191.735 1.46169 128.544
190.548 1.46623 128.483
189.416 1.47079 128.418
187.626 1.47533 128.386
187.686 1.47989 128.263
186.012 1.48444 128.224
183.284 1.48899 128.237
182.153 1.49354 128.171
180.455 1.49808 128.133
178.892 1.50263 128.088
177.057 1.50717 128.055
175.353 1.51172 128.016
173.397 1.51625 127.989
171.785 1.5208 127.945
171.122 1.52534 127.855
170.041 1.52989 127.785
169.111 1.53443 127.708
167.891 1.53897 127.645
165.461 1.54351 127.637
161.745 1.54804 127.688
159.461 1.55258 127.672
157.666 1.55712 127.633
155.838 1.56165 127.595
154.168 1.56619 127.548
152.439 1.57072 127.505
151.724 1.57525 127.415
150.114 1.57978 127.365
149.317 1.58431 127.278
147.345 1.58884 127.243
145.657 1.59338 127.195
145.072 1.5979 127.098
144.363 1.60244 127.007
143.623 1.60695 126.917
141.999 1.61149 126.864
141.065 1.61602 126.781
139.85 1.62054 126.71
134.931 1.62506 126.794
132.79 1.62959 126.76
129.019 1.63411 126.79
125.575 1.63863 126.803
123.638 1.64315 126.755
122.346 1.64767 126.681
121.839 1.65219 126.577
120.451 1.65669 126.506
119.925 1.66122 126.401
118.139 1.66573 126.344
116.919 1.67025 126.264
114.412 1.67475 126.231
112.796 1.67927 126.163
110.905 1.68378 126.104
108.496 1.68829 126.061
106.075 1.69279 126.016
103.86 1.69731 125.961
101.009 1.70181 125.923
98.8182 1.70632 125.862
97.0777 1.71082 125.786
95.4428 1.71544 125.701
94.0715 1.71983 125.615
92.6792 1.72444 125.521
91.4222 1.72894 125.425
89.8945 1.73343 125.335
88.5865 1.73793 125.238
86.5156 1.74242 125.155
85.8317 1.74692 125.041
85.0072 1.75141 124.93
83.6324 1.7559 124.828
81.8551 1.76039 124.732
80.0285 1.76488 124.632
78.7416 1.76936 124.522
77.1981 1.77385 124.414
76.0237 1.77833 124.298
74.8019 1.78281 124.181
72.0963 1.78729 124.073
70.2047 1.79177 123.952
69.1305 1.79625 123.825
68.1689 1.8006 123.7
66.8275 1.80508 123.568
65.6848 1.80955 123.434
64.9007 1.81402 123.3
63.4732 1.81849 123.16
62.5802 1.82295 123.021
61.1491 1.82742 122.873
58.8778 1.83187 122.709
53.8621 1.83634 122.465
51.2603 1.8408 122.247
49.0628 1.84526 122.024
45.5344 1.84971 121.713
39.1669 1.85416 121.12
33.1843 1.85861 120.323
29.6613 1.86306 119.643
25.871 1.8675 118.741
18.5383 1.87194 116.269
